Username,Admin,Password,Salt,Card_Details,Card_Salt
Admin1,TRUE,482b96ad25c488ba064c350f43feeab49fafd6d13b1fe7b4e8c74286d1e232d1,b'B\xf5\xc5\x17!o\xb3\xa9M\xa2&\xb8\x1f\x1e\xdfT\x13\xd8\x9b\x96\xff\xa5W\x01\x9b\xdb\xb5\xde\x983\x8b\x8e',c55e05a6b03038f8c5c458e354f02c9e67c081f2b1c43ced591f6b1de47ffaf7,"b""\xbf\xcc?\x17N\xdf\xce\x9c\x95\xd0\xebz\xcf\xfdP t\xfe,\x1a\x12\xc1|'\xfc\xab$\x01\xf6^\xd0u"""
User11,FALSE,3f23e7445ed31ac546664df107c4b92608438b63986ec1d7dde458de6c4a7354,b'\xf3G\t\xa7\xab\x0e\xf1E\xe6Z3\xcci\xa0Aol\x16\x8a\\\t=y\xc6wI\x04N\x89@\xbc\x94',,
User33,FALSE,b9b8bd7f11bfca98735ef83b6b7ea35c87a01aa6fe5f87bfbf89da80f6baf9d9,b'\xd6o\xb3f\xbe\x91P\xeeuE\n\x1d\x90-Mm\x1a\xf8\x1a\xfa\x18\xc9p\xe6\xc3\x92\xbb9G\x1a\xa1E',,
User6248,FALSE,78fb02a029cdd2f37d9714f8a214b09bc5a848275f427eb6322d0b8660d66708,b'\xf0\xf3h}\xe7vR\xd43\x8cG\x1e\x16\x0f\x0b`\xc2v/\xb1Ho\xd1s\xbe\x82\xf3\x06\xab\x07\x94\xa0',,
User1234,FALSE,035d5bc66826f96690b05cdf97c7213114b0a869d2316e6d04d6526409cacb54,b'\x9cro\xb0O\xaaexU\xd6?7\xf5\x8a&\xa9M\xeac\x19\xc6\x9c\x82\xdeo\x892\xceEE#g',,
User12345,FALSE,aa29d3e37b88930d8e7618186f375616f6679fe5b0c7ff97fe99fd03728ffa5e,b'\xb4S\xa4\x06\xd9\xaa\xcd\x16\x0c\\\xe5%\xe2\xa0\xea\xc4-5 h\xbd\xcfS\x86)z\xbe\xd2\xdfqS\x7f',,
User132456,FALSE,61f8d8de7b9a749285e9f9275c9201e35bab3a223daed3e2c2a289bdd59f21c3,"b'H\xedM\xec%\xe5lI\x0f\x1e\xe8k[\xd8\xber\t\x90G\x19\x94*\xef\x02\x85\xf6\x9dM\xcd""+\xa4'",,
googoo,FALSE,92382f05c0f080efce1ee34c7fd0349dee62f66d4e820dd7e7a9adb9a225f856,b'P\xa0\xea\xf5@\xc5\x7f\x85N\xc0\x0c\x82\x01\xab\x88\xcfm\xc6\xb0t\xfd?k\x02\x13\x05s(N\x14gl',,
User421,FALSE,999d49b658bdfa68ff505ec5b4c289e1723ddc57b3c399a1025ee995f22fb3f3,b'\x90\xa5lHd\xcaKh\xd1\x10T\xf0\x91\x93\x81A\xb0&>\xc0\xa6\x83\xbb\xf4\nJ3\xca\n\x16\xa5\xed',,
User576,FALSE,f9cc06dbdfbe3a2e8b204b4d166f5fe9c493ca10a12ba4d21a7fa2728d11b07f,b'u\x90\xdaL\xa2w\xa4\xc6}\x1e0\n5\xca\xe01\x9f\xc3?\x83\x8e\xa93\xfe_Q5\x7f\x04\xacG\xf4',,
